angle,rpm,speed_x,speed_y,track_position,acceleration,brake,steer
0.0,942.478,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,1100.33,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,1263.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,1432.32,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,1605.57,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,1783.85,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,1967.31,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,2156.5,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,2359.56,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,2580.78,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,2821.75,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,3084.25,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,3368.7,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,3672.92,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,3998.1,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,4345.29,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,4712.09,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,5098.62,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,5504.72,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,5926.31,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,6363.39,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,6812.3,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,7270.74,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,7738.29,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,8213.97,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,8690.56,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9139.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9561.2,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
0.0,9583.95,0.0,0.0,0.333332,1.0,0.0,-0.0285592135041952
-0.00012745159673787596,8669.82,0.541764,-6.06662e-05,0.333332,0.1140341758728027,0.0,-0.0285600535571575
0.0013981659891459427,7301.22,0.938913,-0.0190718,0.333332,1.0,0.0,-0.0285494998097419
0.0004929797624241019,6749.11,1.66347,-0.0155774,0.333332,0.6046249866485596,0.0,-0.0285558011382818
0.0001074398998273417,5999.53,2.4631,-0.01317,0.333332,1.0,0.0,-0.028558399528265
0.0011361352006987633,5543.6,3.34266,-0.0168504,0.333332,1.0,0.0,-0.0285512600094079
0.005549245214868757,5158.51,4.33711,-0.0206019,0.333333,1.0,0.0,-0.028520718216896
0.011040438345934859,4819.99,5.18895,-0.0244413,0.333333,1.0,0.0,-0.028482561931014
0.01745132041143315,4527.24,6.08897,-0.029498,0.333333,1.0,0.0,-0.0284380372613668
0.02372858871910694,4288.51,6.81811,-0.0313232,0.333333,1.0,0.0,-0.0283944550901651
0.03163620843282548,4088.87,7.67804,-0.0372321,0.333333,1.0,0.0,-0.0283395238220691
0.038096995122279674,3922.18,8.39098,-0.039476,0.333333,1.0,0.0,-0.0282945241779088
0.04782260991994832,3774.85,9.17124,-0.0441298,0.333333,1.0,0.0,-0.0282269716262817
0.05919914530850692,3669.03,9.94737,-0.0493009,0.333333,1.0,0.0,-0.0281478259712457
0.07053167753839948,3586.32,10.6607,-0.0513435,0.333333,1.0,0.0,-0.0280690379440784
0.08309950677459407,3524.87,11.3012,-0.0546489,0.333333,1.0,0.0,-0.0279816426336765
